index,question_category,question,answers,correct_answers,answers_category
0000001,03,"Which of the following cloud design principles supports growth in users,traffic or data size with no drop-in performance?","Scalability,Decouple your components,Design for failure,Go Serverless to reduce compute footprint","Scalability",0
0000002,03,"Which of the following is not a standard design principle when designing systems in AWS?","Design for failure,Loose coupling,Servers,not services,Disposable resources instead of fixed servers","Servers not services",0
0000003,01,"Which of the following are pillars of the AWS Well-Architected Framework? (Select TWO.)","Performance Efficiency,Sustainability,Agility,Scalability,High Availability","Performance Efficiency,Sustainability",1
0000004,02,"Which of the following options is an AWS Cloud Adoption Framework (CAF) perspective specifically tailored to ensure your cloud investments expedite your digital transformation goals and business outcomes?","Business perspective,Governance perspective,Operations perspective,People perspective","Business perspective",0
0000005,03,"A company used to experience delays in developing new services due to the time it took to procure and set up on-premises servers. They recently migrated their infrastructure to the AWS Cloud. This change has allowed them to spin up testing environments in just days,accelerating the time to market for their services.","Elasticity,Cost savings,Agility,Deploy globally in minutes","Agility",0
0000006,03,"Which of the following cloud best practices reinforces the use of the Service-Oriented Architecture (SOA) design principle?","Design for failure.,Decouple your components.,Think parallel.,Implement elasticity.","Decouple your components.",0
0000007,02,"Which of the following perspective includes the foundational capabilities of the AWS Cloud Adoption Framework (AWS CAF)?","Security,Sustainability,Scalability,Reliability","Security",0
0000008,02,"Quale delle seguenti prospettive dell'AWS Cloud Adoption Framework (CAF) aiuta le organizzazioni a definire e ottimizzare le strutture di governance e conformità nel cloud?","Operations perspective,Security perspective,Governance perspective,People perspective","Governance perspective",0
0000009,01,"Quale dei seguenti principi dell'AWS Well-Architected Framework (WAF) aiuta le aziende a migliorare continuamente i propri carichi di lavoro e adottare le migliori pratiche per il cloud?","Scalability,Continuous improvement,Operational Excellence,Loose coupling","Operational Excellence",0
0000010,02,"Quale delle seguenti affermazioni è corretta riguardo la prospettiva 'People' dell'AWS Cloud Adoption Framework (CAF)?","Si concentra sulla gestione dei costi e delle risorse finanziarie nel cloud.,Aiuta a definire ruoli,competenze e strategie per gestire il cambiamento organizzativo.,Riguarda esclusivamente la sicurezza e la conformità nel cloud.,Si occupa della scalabilità e delle prestazioni dei carichi di lavoro nel cloud.","Aiuta a definire ruoli,competenze e strategie per gestire il cambiamento organizzativo.",0
